<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,600705,中航投资,15.99,16.08,15.61,15.61,7926919
20140122,600706,曲江文旅,12.08,12.16,11.6,11.6,2705461
20140122,600707,*ST彩虹,7.96,8.07,7.81,7.89,4215081
20140122,600708,海博股份,7.24,7.3,7.05,7.18,9492089
20140122,600710,常林股份,2.91,2.91,2.81,2.81,2684076
20140122,600711,盛屯矿业,8.65,8.79,8.41,8.48,3356557
20140122,600712,南宁百货,3.79,3.8,3.7,3.74,1776865
20140122,600713,南京医药,5.31,5.37,5.15,5.17,10479075
20140122,600714,金瑞矿业,7.61,7.61,7.45,7.47,670990
20140122,600715,松辽汽车,5.57,5.6,5.5,5.54,1242469
20140122,600716,凤凰股份,7.62,7.65,7.35,7.41,4017441
20140122,600717,天津港,7.54,7.56,7.29,7.37,11050811
20140122,600718,东软集团,14.2,14.73,13.99,14,28385633
20140122,600719,大连热电,6.19,6.2,6.02,6.05,2609159
20140122,600720,祁连山,6.7,6.76,6.43,6.58,22326838
20140122,600721,百花村,6.72,6.76,6.58,6.58,1039411
20140122,600722,金牛化工,4.02,4.04,3.85,3.92,3266482
20140122,600723,首商股份,6.07,6.09,5.89,5.9,2255069
20140122,600724,宁波富达,4.07,4.08,3.93,3.95,3036881
20140122,600725,云维股份,3.49,3.54,3.39,3.42,2572827
20140122,600726,华电能源,2.44,2.45,2.41,2.41,1717288
20140122,600728,佳都科技,16.1,16.28,15.58,15.68,7106415
20140122,600729,重庆百货,21.19,21.25,20.82,20.98,2422542
20140122,600730,中国高科,8.95,8.96,8.65,8.79,2254652
20140122,600731,湖南海利,7.03,7.05,6.87,6.87,2110803
20140122,600733,S前锋,18.27,18.33,17.9,18.15,1079170
20140122,600735,新华锦,7.21,7.25,6.98,7.06,2191141
20140122,600736,苏州高新,3.8,3.8,3.7,3.72,8697439
20140122,600737,中粮屯河,5.16,5.16,5.03,5.04,4683699
20140122,600738,兰州民百,5.9,5.93,5.72,5.73,5185095
20140122,600739,辽宁成大,15.61,15.74,14.75,14.83,30228745
20140122,600740,山西焦化,5.97,6.04,5.8,5.8,4633341
20140122,600741,华域汽车,8.97,8.99,8.53,8.53,13999492
20140122,600742,一汽富维,17.68,17.76,17.25,17.26,3958669
20140122,600743,华远地产,2.42,2.43,2.32,2.32,5356293
20140122,600744,华银电力,3.11,3.13,3,3.05,4008618
20140122,600746,江苏索普,6.29,6.3,6.02,6.1,3739047
20140122,600747,大连控股,3.93,3.94,3.82,3.84,9816623
20140122,600748,上实发展,7.11,7.13,6.77,6.8,9731989
20140122,600749,西藏旅游,7.85,7.85,7.61,7.61,1661197
20140122,600750,江中药业,16.01,16.05,15.62,15.7,3279589
20140122,600751,天津海运,5.56,5.59,5.4,5.4,8740026
20140122,600753,东方银星,9.81,9.82,9.5,9.78,1143578
20140122,600754,锦江股份,15.27,15.3,14.74,14.74,1687790
20140122,600755,厦门国贸,5.25,5.25,5.11,5.13,15997137
20140122,600756,浪潮软件,13.49,13.63,13.21,13.21,6186221
20140122,600757,长江传媒,7.57,7.58,7.2,7.4,4680349
20140122,600758,红阳能源,6.63,6.67,6.42,6.51,971029
20140122,600759,正和股份,9.88,10.14,9.8,9.86,33526321
20140122,600760,*ST黑豹,4.97,4.97,4.9,4.93,1559944
20140122,600761,安徽合力,11.56,11.61,11.21,11.21,11661197
20140122,600763,通策医疗,33.8,34.55,33.35,34.4,2202795
20140122,600764,中电广通,7.28,7.35,6.9,7.01,3705187
20140122,600765,中航重机,11.95,12.07,11.56,11.56,9145340
20140122,600766,园城黄金,11.37,11.6,11.23,11.43,2863994
20140122,600767,运盛实业,6.29,6.41,6.2,6.2,6826734
20140122,600768,宁波富邦,6.34,6.35,6.15,6.19,780856
20140122,600769,*ST祥龙,4.49,4.53,4.31,4.35,1173070
20140122,600770,综艺股份,9.7,9.91,9.48,9.91,53143245
20140122,600771,广誉远,24.1,24.38,23.66,23.92,1114898
