600186,19980825,LHWJ-莲花味精
600187,19981111,GZSW-国中水务
600188,19980701,YZMY-兖州煤业
600189,19981007,JLSG-吉林森工
600190,19980519,JZG -锦州港  
600191,19981210,HZSY-华资实业
600192,19981224,CCDG-长城电工
600193,19990527,CXZY-创兴资源
600195,19990107,ZMGF-中牧股份
600196,19980807,FXYY-复星医药
600197,19990916,YLT -伊力特  
600198,19981021,DTDX-大唐电信
600199,19980812,JZZJ-金种子酒
600200,19990401,JSWZ-江苏吴中
600201,19990115,JYJT-金宇集团
600202,19990603,HKD -哈空调  
600203,19990514,FRDZ-福日电子
600206,19990319,YYGG-有研硅股
600207,19990714,ACGK-安彩高科
600208,19990623,XHZB-新湖中宝
600209,19990325,LDFZ-罗顿发展
600210,19990824,ZJQY-紫江企业
600211,19990721,XCYY-西藏药业
600212,19990817,JQSY-江泉实业
600213,19990831,YXKC-亚星客车
600215,19990909,CCJK-长春经开
600216,19991021,ZJYY-浙江医药
600217,19991216,QLSN-秦岭水泥
600218,19981203,QCDL-全柴动力
600219,19991223,NSLY-南山铝业
600220,19990927,JSYG-江苏阳光
600221,19970626,HNHK-海南航空
600222,19991105,TLYY-太龙药业
600223,20000113,LSZY-鲁商置业
600225,20000127,TJSJ-天津松江
600226,19991116,SHBK-升华拜克
600227,20000221,CTH -赤天化  
600228,19990119,CJSH-昌九生化
600229,20000309,QDJY-青岛碱业
600230,20000406,CZDH-沧州大化
600231,20000511,LGGF-凌钢股份
600232,20000602,JYGF-金鹰股份
600233,20000608,DYCS-大杨创世
600234,20000615,*STT-*ST天龙 
600235,20000615,MFTZ-民丰特纸
600236,20000323,GGDL-桂冠电力
600237,20000609,TFDZ-铜峰电子
600238,20000120,HNYD-海南椰岛
600239,19991202,YNCT-云南城投
600240,20000628,HYDC-华业地产
600241,20001128,SDWH-时代万恒
600242,20001207,ZCHY-中昌海运
600243,20001120,QHHD-青海华鼎
600246,20000922,WTDC-万通地产
600247,20001123,CCGF-成城股份
600248,20000622,YCHJ-延长化建
600249,20040130,LMZ -两面针  
600250,20010306,NFGF-南纺股份
600251,20030609,GNGF-冠农股份
600252,20001130,ZHJT-中恒集团
600255,20001122,XKCL-鑫科材料
600256,20000526,GHNY-广汇能源
600257,20000612,DHGF-大湖股份
600258,20000601,SLGF-首旅股份
600259,20000525,GSYS-广晟有色
600260,20000706,KLKJ-凯乐科技
600261,20000720,YGZM-阳光照明
600262,20000630,BFGF-北方股份
600265,20000825,*STJ-*ST景谷 
600266,19990203,BJCJ-北京城建
600267,20000725,HZYY-海正药业
600268,19991118,GDNZ-国电南自
600269,20000518,GYGS-赣粤高速
